"complaint_id","event_timestamp","customer_id","region","channel","sentiment_label","text"
"R00075","2025-10-07T14:56:50","C00495","Bilbao","oficina_consumidor","negativo","Me han cobrado de más sin explicación."
"R00088","2025-10-12T15:14:58","C00371","Zaragoza","telefono","NEG","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00062","2025-10-25T20:23:43","C00264"," Sevilla ","email","Negativo","Me han cobrado de más sin explicación."
"R00037","2025-10-29T12:01:27","C00287","Bilbao","redes_sociales","negativo","El router que me enviaron no funciona."
"R00022","2025-10-06T12:32:11","C00474","Zaragoza","redes_sociales","negativo","Mi velocidad real es la cuarta parte de la contratada."
"R00068","2025-10-03T05:07:57","C00040","Barcelona","email","NEG","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00045","2025-10-17T19:14:30","C00006","Barcelona","telefono","NEGATIVO","Mi velocidad real es la cuarta parte de la contratada."
"R00109","2025-10-07T11:41:44","C00450","Madrid","email","NEGATIVO"," Llevo tres semanas con cortes diarios y nadie lo soluciona. "
"R00010","2025-10-27T17:49:32","C00053","Valencia ","email","NEGATIVO","Me han cobrado de más sin explicación."
"R00084","2025-10-26T22:38:58","C00325","Bilbao","redes_sociales","NEG"," Me tienen 40 minutos en espera y luego me cuelgan. "
"R00089","2025-10-22T17:25:30","C00401","barcelona","redes_sociales","NEG","Solicité portabilidad hace un mes y sigo sin servicio."
"R00108","2025-10-31T22:01:23","C00054","Madrid","telefono","Negativo","Me han cobrado de más sin explicación."
"R00009","2025-10-04T22:29:18","C00419","Barcelona","telefono","NEG","Mi velocidad real es la cuarta parte de la contratada."
"R00081","2025-10-17T11:41:12","C00335","Valencia","telefono","NEGATIVO","Solicité portabilidad hace un mes y sigo sin servicio."
"R00099","2025-10-18T15:28:00","C00479","Valencia","redes_sociales","Negativo","Mi velocidad real es la cuarta parte de la contratada."
"R00014","2025-10-10T23:47:55","C00427","Bilbao","redes_sociales","Negativo"," El técnico dijo que estaba arreglado y volvió a caerse. "
"R00077","2025-10-19T03:59:36","C00087","BILBAO","telefono","negativo",""
"R00078","2025-10-15T06:10:39","C00386","Barcelona","oficina_consumidor","NEGATIVO","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00010","2025-10-27T17:49:32","C00053","Valencia ","email","NEGATIVO","Me han cobrado de más sin explicación."
"R00107","2025-10-31T20:03:24","C00474","Valencia","redes_sociales","NEGATIVO","Me tienen 40 minutos en espera y luego me cuelgan."
"R00067","2025-10-31T22:19:06","C00324","Bilbao","telefono","neg","El router que me enviaron no funciona."
"R00047","2025-10-23T02:34:27","C00021","Valencia","oficina_consumidor","neg","Me tienen 40 minutos en espera y luego me cuelgan."
"R00030","2025-10-21T21:33:05","C00464"," Zaragoza ","email","neg","El técnico dijo que estaba arreglado y volvió a caerse."
"R00041","2025-10-18T21:45:10","C00410","Madrid","oficina_consumidor","Negativo","Mi velocidad real es la cuarta parte de la contratada."
"R00007","2025-10-29T08:23:36","C00135","Madrid","telefono","NEG","El router que me enviaron no funciona."
"R00120","2025-10-27T00:50:21","C00407","Madrid","oficina_consumidor","NEGATIVO","Solicité portabilidad hace un mes y sigo sin servicio."
"R00119","2025-10-24T06:24:01","C00091","Valencia","email","Negativo","El técnico dijo que estaba arreglado y volvió a caerse."
"R00103","2025-10-30T22:02:25","C00115","Sevilla","oficina_consumidor","NEG","Me han cobrado de más sin explicación."
"R00086","2025-10-28T20:41:14","C00278","Sevilla","redes_sociales","negativo","Me suben la cuota sin avisar tras seis años de cliente."
"R00097","2025-10-19T19:07:35","C00010","Bilbao","telefono","Negativo","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00040","2025-10-13T11:05:19","C00306","Valencia ","telefono","NEGATIVO","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00044","2025-10-06T00:58:45","C00470","ZARAGOZA","telefono","NEG","El router que me enviaron no funciona."
"R00017","2025-10-11T01:58:07","C00136","Sevilla","redes_sociales","pos","Excelente atención de la técnica que vino ayer."
"R00025","2025-10-29T04:15:44","C00300","ZARAGOZA","redes_sociales","NEG"," Me suben la cuota sin avisar tras seis años de cliente. "
"R00098","2025-10-02T15:12:24","C00353","Barcelona","telefono","NEU","Servicio bueno en general, solo me quejo del precio."
"R00104","2025-10-03T00:32:59","C00277","Madrid","redes_sociales","NEGATIVO","Me han cobrado de más sin explicación."
"R00020","2025-10-06T00:47:21","C00037","Madrid ","telefono","negativo","Solicité portabilidad hace un mes y sigo sin servicio."
"R00071","2025-10-08T21:59:22","C00177","Zaragoza","redes_sociales","negativo",""
"R00008","2025-10-28T11:25:28","C00075","Valencia","redes_sociales","NEGATIVO","El técnico dijo que estaba arreglado y volvió a caerse."
"R00102","2025-10-27T04:16:23","C00117"," Bilbao ","oficina_consumidor","Negativo","Me tienen 40 minutos en espera y luego me cuelgan."
"R00087","2025-10-09T12:11:04","C00239","Bilbao","oficina_consumidor","neg","Solicité portabilidad hace un mes y sigo sin servicio."
"R00060","2025-10-01T04:50:44","C00334","Madrid","oficina_consumidor","neg","Me suben la cuota sin avisar tras seis años de cliente."
"R00057","2025-10-16T00:16:56","C00059","Sevilla","email","POS"," Excelente atención de la técnica que vino ayer. "
"R00063","2025-10-13T18:40:49","C00061","Sevilla","telefono","Negativo","Mi velocidad real es la cuarta parte de la contratada."
"R00049","2025-10-29T02:26:06","C00452","Madrid","telefono","neg","Me tienen 40 minutos en espera y luego me cuelgan."
"R00116","2025-10-29T13:18:51","C00473","Valencia ","email","NEGATIVO"," Mi velocidad real es la cuarta parte de la contratada. "
"R00115","2025-10-28T09:48:36","C00100","Zaragoza","email","negativo","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00015","2025-10-29T11:30:22","C00075","Sevilla","oficina_consumidor","NEGATIVO","Solicité portabilidad hace un mes y sigo sin servicio."
"R00039","2025-10-23T15:00:05","C00446"," Valencia ","oficina_consumidor","NEG"," Me suben la cuota sin avisar tras seis años de cliente. "
"R00011","2025-10-19T13:26:34","C00264","Valencia","telefono","NEG","El técnico dijo que estaba arreglado y volvió a caerse."
"R00034","2025-10-17T18:34:09","C00222","BILBAO","email","negativo","El técnico dijo que estaba arreglado y volvió a caerse."
"R00083","2025-10-23T02:11:48","C00186","Zaragoza ","oficina_consumidor","neg","Me tienen 40 minutos en espera y luego me cuelgan."
"R00018","2025-10-19T12:02:56","C00358","Bilbao","telefono","pos"," Excelente atención de la técnica que vino ayer. "
"R00001","2025-10-20T15:37:48","C00040","sevilla","redes_sociales","negativo","Me han cobrado de más sin explicación."
"R00076","2025-10-28T14:48:09","C00240","Madrid","redes_sociales","pos"," Excelente atención de la técnica que vino ayer. "
"R00055","2025-10-24T03:37:41","C00099","Sevilla","redes_sociales","negativo",""
"R00069","2025-10-02T07:06:32","C00467","BARCELONA","oficina_consumidor","neg","Solicité portabilidad hace un mes y sigo sin servicio."
"R00113","2025-10-01T18:56:51","C00031","Valencia","email","pos"," Excelente atención de la técnica que vino ayer. "
"R00005","2025-10-18T21:52:40","C00332","Barcelona","oficina_consumidor","NEGATIVO","Me tienen 40 minutos en espera y luego me cuelgan."
"R00032","2025-10-21T13:00:09","C00088","Zaragoza","redes_sociales","NEG","El router que me enviaron no funciona."
"R00013","2025-10-08T09:09:51","C00238","Zaragoza","telefono","NEGATIVO","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00016","2025-10-08T16:15:10","C00083","Zaragoza","telefono","NEG","Mi velocidad real es la cuarta parte de la contratada."
"R00080","2025-10-02T03:22:58","C00244","Madrid","telefono","Negativo","Mi velocidad real es la cuarta parte de la contratada."
"R00033","2025-10-16T07:36:19","C00013","Bilbao","redes_sociales","negativo","El técnico dijo que estaba arreglado y volvió a caerse."
"R00043","2025-10-08T12:01:31","C00004","Sevilla","redes_sociales","Negativo","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00028","2025-10-02T08:18:19","C00227","Bilbao","oficina_consumidor","POS","Excelente atención de la técnica que vino ayer."
"R00078","2025-10-15T06:10:39","C00386","Barcelona","oficina_consumidor","NEGATIVO","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00021","2025-10-10T22:26:38","C00467","Sevilla","telefono","Negativo","Me han cobrado de más sin explicación."
"R00072","2025-10-14T02:29:59","C00130","Madrid","oficina_consumidor","neg","Me tienen 40 minutos en espera y luego me cuelgan."
"R00064","2025-10-08T22:32:37","C00355"," Madrid ","email","NEU","Servicio bueno en general, solo me quejo del precio."
"R00112","2025-10-30T09:03:37","C00137","Sevilla","oficina_consumidor","neg","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00056","2025-10-23T14:35:31","C00196","Zaragoza","email","neg"," El técnico dijo que estaba arreglado y volvió a caerse. "
"R00085","2025-10-01T22:38:04","C00314","Sevilla","telefono","negativo","Solicité portabilidad hace un mes y sigo sin servicio."
"R00070","2025-10-09T14:51:51","C00313","Valencia","email","NEGATIVO","Mi velocidad real es la cuarta parte de la contratada."
"R00003","2025-10-09T15:49:24","C00254","Zaragoza","email","Negativo","El router que me enviaron no funciona."
"R00093","2025-10-21T04:43:31","C00327","Valencia","redes_sociales","neg","Me han cobrado de más sin explicación."
"R00054","2025-10-03T05:53:21","C00445","Barcelona","oficina_consumidor","NEGATIVO"," Me tienen 40 minutos en espera y luego me cuelgan. "
"R00101","2025-10-03T02:51:17","C00369","Madrid","redes_sociales","NEGATIVO","Me suben la cuota sin avisar tras seis años de cliente."
"R00042","2025-10-22T11:43:43","C00036"," Barcelona ","redes_sociales","pos","Excelente atención de la técnica que vino ayer."
"R00106","2025-10-23T10:01:48","C00266","Madrid","redes_sociales","Negativo","Me tienen 40 minutos en espera y luego me cuelgan."
"R00048","2025-10-06T02:30:35","C00101"," Sevilla ","oficina_consumidor","pos","Excelente atención de la técnica que vino ayer."
"R00019","2025-10-24T00:01:08","C00012","Valencia","email","NEGATIVO","El técnico dijo que estaba arreglado y volvió a caerse."
"R00117","2025-10-11T21:39:44","C00004","Barcelona","email","neutral","Servicio bueno en general, solo me quejo del precio."
"R00031","2025-10-27T04:45:20","C00114","Sevilla","redes_sociales","neg","El técnico dijo que estaba arreglado y volvió a caerse."
"R00052","2025-10-10T20:31:02","C00095","Zaragoza","redes_sociales","neg","Me suben la cuota sin avisar tras seis años de cliente."
"R00091","2025-10-31T22:44:03","C00287","Sevilla","telefono","NEGATIVO","Solicité portabilidad hace un mes y sigo sin servicio."
"R00024","2025-10-22T10:45:50","C00333","Valencia","redes_sociales","negativo","El router que me enviaron no funciona."
"R00072","2025-10-14T02:29:59","C00130","Madrid","oficina_consumidor","neg","Me tienen 40 minutos en espera y luego me cuelgan."
"R00066","2025-10-01T05:35:31","C00075","Sevilla","oficina_consumidor","neutral","Servicio bueno en general, solo me quejo del precio."
"R00096","2025-10-17T00:18:17","C00467","barcelona","telefono","NEGATIVO",""
"R00036","2025-10-05T20:48:45","C00491","Barcelona","redes_sociales","neg","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00105","2025-10-02T05:24:19","C00168","Madrid","oficina_consumidor","negativo","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00023","2025-10-27T20:40:10","C00234","Madrid","oficina_consumidor","Negativo"," Mi velocidad real es la cuarta parte de la contratada. "
"R00061","2025-10-23T13:53:17","C00214","Barcelona","email","NEG","Me suben la cuota sin avisar tras seis años de cliente."
"R00073","2025-10-30T14:29:11","C00306","Madrid","telefono","neg","El router que me enviaron no funciona."
"R00079","2025-10-15T03:23:13","C00379","Sevilla","oficina_consumidor","NEG","Me suben la cuota sin avisar tras seis años de cliente."
"R00038","2025-10-28T03:10:34","C00207","Sevilla","email","negativo","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00006","2025-10-02T05:49:44","C00004","Bilbao","email","NEGATIVO","El router que me enviaron no funciona."
"R00039","2025-10-23T15:00:05","C00446"," Valencia ","oficina_consumidor","NEG"," Me suben la cuota sin avisar tras seis años de cliente. "
"R00002","2025-10-06T19:11:24","C00123","Zaragoza","oficina_consumidor","POS","Excelente atención de la técnica que vino ayer."
"R00110","2025-10-08T06:27:26","C00195","Madrid","redes_sociales","Negativo"," Solicité portabilidad hace un mes y sigo sin servicio. "
"R00001","2025-10-20T15:37:48","C00040","sevilla","redes_sociales","negativo","Me han cobrado de más sin explicación."
"R00082","2025-10-18T17:22:05","C00229","Sevilla","redes_sociales","Negativo","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00094","2025-10-14T05:21:02","C00498","Zaragoza","redes_sociales","NEU",""
"R00074","2025-10-18T14:52:08","C00166","Madrid","email","NEG","El router que me enviaron no funciona."
"R00035","2025-10-04T08:14:08","C00090","Zaragoza ","redes_sociales","NEGATIVO","Me suben la cuota sin avisar tras seis años de cliente."
"R00051","2025-10-12T19:35:12","C00096","Madrid","redes_sociales","NEGATIVO","Mi velocidad real es la cuarta parte de la contratada."
"R00012","2025-10-20T11:46:26","C00428","Sevilla","redes_sociales","neg","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00092","2025-10-13T05:35:22","C00087","MADRID","redes_sociales","NEGATIVO"," Me suben la cuota sin avisar tras seis años de cliente. "
"R00026","2025-10-30T06:36:49","C00191","Valencia","oficina_consumidor","NEG","Me tienen 40 minutos en espera y luego me cuelgan."
"R00111","2025-10-09T12:07:18","C00158","Madrid","redes_sociales","NEGATIVO","Mi velocidad real es la cuarta parte de la contratada."
"R00027","2025-10-25T17:25:36","C00229","Valencia","email","positivo","  "
"R00018","2025-10-19T12:02:56","C00358","Bilbao","telefono","pos"," Excelente atención de la técnica que vino ayer. "
"R00058","2025-10-06T11:20:12","C00261","bilbao","oficina_consumidor","neg","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00029","2025-10-13T08:56:41","C00224","Barcelona","oficina_consumidor","pos"," Excelente atención de la técnica que vino ayer. "
"R00065","2025-10-16T06:12:34","C00372","Bilbao","email","pos","Excelente atención de la técnica que vino ayer."
"R00053","2025-10-25T12:47:29","C00297","Barcelona","oficina_consumidor","neg","Me tienen 40 minutos en espera y luego me cuelgan."
"R00059","2025-10-28T18:48:38","C00205","Zaragoza","telefono","Negativo","Me tienen 40 minutos en espera y luego me cuelgan."
"R00115","2025-10-28T09:48:36","C00100","Zaragoza","email","negativo","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00118","2025-10-31T23:05:00","C00264","Barcelona","email","neg","Solicité portabilidad hace un mes y sigo sin servicio."
"R00095","2025-10-30T04:38:36","C00224","Bilbao","telefono","negativo","Mi velocidad real es la cuarta parte de la contratada."
"R00046","2025-10-03T15:20:19","C00161","Madrid","telefono","NEGATIVO","El router que me enviaron no funciona."
"R00100","2025-10-08T00:17:40","C00458","VALENCIA","redes_sociales","neg"," Me suben la cuota sin avisar tras seis años de cliente. "
"R00004","2025-10-19T23:46:09","C00006","Bilbao","redes_sociales","NEG","El router que me enviaron no funciona."
"R00114","2025-10-29T00:21:49","C00001","Barcelona","oficina_consumidor","NEU",""
"R00017","2025-10-11T01:58:07","C00136","Sevilla","redes_sociales","pos","Excelente atención de la técnica que vino ayer."
"R00090","2025-10-16T00:02:45","C00359","Zaragoza","email","NEGATIVO",""
"R00050","2025-10-07T10:23:23","C00189","Zaragoza","telefono","Neutral","Servicio bueno en general, solo me quejo del precio."
